source	target	lib	tfidfMax	tfidfDistances
0181IbnMubarak.Jihad.JK000549-ara1	33938.json	RAWrabicaShamAY2	0.89188	[0.89188]
0181IbnMubarak.Jihad.JK000549-ara1	38092.json	RAWrabicaShamAY3	0.89179	[0.89179]
0181IbnMubarak.Jihad.JK000549-ara1	13041.bok.json	RAWrabicaSham19Y	0.89157	[0.89157]
0181IbnMubarak.Jihad.JK000549-ara1	13099.json	RAWrabicaShamAY2	0.89138	[0.89138]
0181IbnMubarak.Jihad.JK000549-ara1	0322AbuJacfarCuqayli.DucafaKabir.Shamela0013041-ara1	RELEASE	0.89131	[0.89131]
0181IbnMubarak.Jihad.JK000549-ara1	38085.json	RAWrabicaShamAY3	0.8913	[0.8913]
0181IbnMubarak.Jihad.JK000549-ara1	13041.json	RAWrabicaShamAY2	0.89126	[0.89126]
0181IbnMubarak.Jihad.JK000549-ara1	1401.json	RAWrabicaShamAY1	0.89124	[0.89124]
0181IbnMubarak.Jihad.JK000549-ara1	0261Muslim.Sahih.ShamAY0033938-ara1	RELEASE	0.89123	[0.89123]
0181IbnMubarak.Jihad.JK000549-ara1	38165.json	RAWrabicaShamAY3	0.89119	[0.89119]
0181IbnMubarak.Jihad.JK000549-ara1	0535QadiMaristan.Mashyakha.Shamela0026542-ara1	RELEASE	0.89117	[0.89117]
0181IbnMubarak.Jihad.JK000549-ara1	0261Muslim.Sahih.Shia001723Vols-ara1	RELEASE	0.89109	[0.89109]
0181IbnMubarak.Jihad.JK000549-ara1	26542.json	RAWrabicaShamAY2	0.89104	[0.89104]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.HusnZannBiLlah.ShamAY0038085-ara1	RELEASE	0.89101	[0.89101]
0181IbnMubarak.Jihad.JK000549-ara1	12990.json	RAWrabicaShamAY2	0.89089	[0.89089]
0181IbnMubarak.Jihad.JK000549-ara1	21670.bok.json	RAWrabicaSham19Y	0.89079	[0.89079]
0181IbnMubarak.Jihad.JK000549-ara1	0261Muslim.Sahih.Shamela0001727-ara1	RELEASE	0.89074	[0.89074]
0181IbnMubarak.Jihad.JK000549-ara1	21670.json	RAWrabicaShamAY2	0.89046	[0.89046]
0181IbnMubarak.Jihad.JK000549-ara1	32800.json	RAWrabicaShamAY2	0.89039	[0.89039]
0181IbnMubarak.Jihad.JK000549-ara1	Shamela021670.txt	raw_ShamelaY19	0.89036	[0.89036]
0181IbnMubarak.Jihad.JK000549-ara1	Sham30K0038957	RAWrabica025000	0.89031	[0.89031]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.QasrAmal.ShamAY0038175-ara1	RELEASE	0.8903	[0.8903]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.AmrBiMacruf.Shamela0008207-ara1	RELEASE	0.89012	[0.89012]
0181IbnMubarak.Jihad.JK000549-ara1	0410IbnCumarDimashqi.Fawaid.Shamela0004003-ara1	RELEASE	0.89009	[0.89009]
0181IbnMubarak.Jihad.JK000549-ara1	33576.json	RAWrabicaShamAY2	0.8899	[0.8899]
0181IbnMubarak.Jihad.JK000549-ara1	0301AbuBakrFaryabi.Qadar.Shamela0011333-ara1	RELEASE	0.88989	[0.88989]
0181IbnMubarak.Jihad.JK000549-ara1	33976.json	RAWrabicaShamAY2	0.88985	[0.88985]
0181IbnMubarak.Jihad.JK000549-ara1	13078.json	RAWrabicaShamAY2	0.88983	[0.88983]
0181IbnMubarak.Jihad.JK000549-ara1	0327AbuBakrKharaiti.IctilalQulub.JK011273-ara1	RELEASE	0.8898	[0.8898]
0181IbnMubarak.Jihad.JK000549-ara1	0368IbnJacfarQatici.Fawaid.Shamela0013099-ara1	RELEASE	0.88978	[0.88978]
0181IbnMubarak.Jihad.JK000549-ara1	0341AbuHasanIbnMaqabiri.Hadith.ShamAY0032800-ara1	RELEASE	0.88976	[0.88976]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.MudaratNas.Shamela0013152-ara1	RELEASE	0.88964	[0.88964]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Warac.ShamAY0038098-ara1	RELEASE	0.88958	[0.88958]
0181IbnMubarak.Jihad.JK000549-ara1	4003.json	RAWrabicaShamAY1	0.88957	[0.88957]
0181IbnMubarak.Jihad.JK000549-ara1	4003.bok.json	RAWrabicaSham19Y	0.88928	[0.88928]
0181IbnMubarak.Jihad.JK000549-ara1	38098.json	RAWrabicaShamAY3	0.88919	[0.88919]
0181IbnMubarak.Jihad.JK000549-ara1	0322AbuJacfarCuqayli.DucafaKabir.ShamAY0034141-ara1	RELEASE	0.88915	[0.88915]
0181IbnMubarak.Jihad.JK000549-ara1	13078.bok.json	RAWrabicaSham19Y	0.88902	[0.88902]
0181IbnMubarak.Jihad.JK000549-ara1	0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1	RELEASE	0.88899	[0.88899]
0181IbnMubarak.Jihad.JK000549-ara1	0424AbuTalibYahyaHaruni.Amali.Zaydiyya0000229-ara1	RELEASE	0.88895	[0.88895]
0181IbnMubarak.Jihad.JK000549-ara1	34141.json	RAWrabicaShamAY2	0.88891	[0.88891]
0181IbnMubarak.Jihad.JK000549-ara1	0277IbnSufyanFasawi.Mashyakha.ShamAY0038035-ara1	RELEASE	0.88882	[0.88882]
0181IbnMubarak.Jihad.JK000549-ara1	13091.json	RAWrabicaShamAY2	0.8887	[0.8887]
0181IbnMubarak.Jihad.JK000549-ara1	Shamela149015.txt	raw_ShamelaY19	0.88857	[0.88857]
0181IbnMubarak.Jihad.JK000549-ara1	Shamela026542.txt	raw_ShamelaY19	0.88852	[0.88852]
0181IbnMubarak.Jihad.JK000549-ara1	38175.json	RAWrabicaShamAY3	0.88848	[0.88848]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Ciyal.JK000866-ara1	RELEASE	0.88845	[0.88845]
0181IbnMubarak.Jihad.JK000549-ara1	0277IbnSufyanFasawi.Mashyakha.Shamela0021670-ara1	RELEASE	0.88826	[0.88826]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.MudaratNas.JK001144-ara1	RELEASE	0.88825	[0.88825]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.IstinacMacruf.Shamela0006022-ara1	RELEASE	0.88821	[0.88821]
0181IbnMubarak.Jihad.JK000549-ara1	38091.json	RAWrabicaShamAY3	0.88808	[0.88808]
0181IbnMubarak.Jihad.JK000549-ara1	13152.json	RAWrabicaShamAY2	0.88805	[0.88805]
0181IbnMubarak.Jihad.JK000549-ara1	0360AbuBakrAjurri.Sharica.Shamela0013035-ara1	RELEASE	0.88772	[0.88772]
0181IbnMubarak.Jihad.JK000549-ara1	38129.json	RAWrabicaShamAY3	0.88762	[0.88762]
0181IbnMubarak.Jihad.JK000549-ara1	13035.bok.json	RAWrabicaSham19Y	0.88757	[0.88757]
0181IbnMubarak.Jihad.JK000549-ara1	9383.json	RAWrabicaShamAY1	0.88742	[0.88742]
0181IbnMubarak.Jihad.JK000549-ara1	0322AbuJacfarCuqayli.DucafaKabir.Shia003078Vols-ara1	RELEASE	0.88721	[0.88721]
0181IbnMubarak.Jihad.JK000549-ara1	1406.json	RAWrabicaShamAY1	0.88712	[0.88712]
0181IbnMubarak.Jihad.JK000549-ara1	0343IbnSulaymanAtrabulusi.Hadith.Shamela0013182-ara1	RELEASE	0.887	[0.887]
0181IbnMubarak.Jihad.JK000549-ara1	0322AbuJacfarCuqayli.DucafaKabir.JK000524-ara1	RELEASE	0.887	[0.887]
0181IbnMubarak.Jihad.JK000549-ara1	0398IbnCaliHamadhani.Hadith.Shamela0021685-ara1	RELEASE	0.88689	[0.88689]
0181IbnMubarak.Jihad.JK000549-ara1	38103.json	RAWrabicaShamAY3	0.88675	[0.88675]
0181IbnMubarak.Jihad.JK000549-ara1	937.json	RAW_ABLibrary	0.88669	[0.88669]
0181IbnMubarak.Jihad.JK000549-ara1	38035.json	RAWrabicaShamAY3	0.88642	[0.88642]
0181IbnMubarak.Jihad.JK000549-ara1	0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1	RELEASE	0.88638	[0.88638]
